# schema.table|column|type|nullability|default
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
finance.journal_entries|status|text|NOT NULL|'draft'::text
finance.journal_entries|source_type|text|NOT NULL|-
finance.journal_entries|source_id|uuid|NOT NULL|-
finance.journal_entries|description|text|NOT NULL|-
finance.journal_entries|idempotency_key|text|NOT NULL|-
finance.journal_entries|posted_at|timestamp with time zone|null|-
finance.journal_entries|posted_by|uuid|null|-
finance.journal_entries|reversal_of_entry_id|uuid|null|-
finance.journal_entries|created_at|timestamp with time zone|NOT NULL|now()
finance.journal_lines|id|uuid|NOT NULL|gen_random_uuid()
finance.journal_lines|tenant_id|uuid|NOT NULL|-
finance.journal_lines|journal_entry_id|uuid|NOT NULL|-
finance.journal_lines|ledger_account_id|uuid|NOT NULL|-
finance.journal_lines|entry_side|text|NOT NULL|-
finance.journal_lines|amount_minor|bigint|NOT NULL|-
finance.journal_lines|person_id|uuid|null|-
finance.journal_lines|farmer_well_account_id|uuid|null|-
finance.journal_lines|partner_id|uuid|null|-
finance.journal_lines|cashbox_id|uuid|null|-
finance.journal_lines|fuel_tank_id|uuid|null|-
finance.journal_lines|description|text|null|-
finance.journal_lines|created_at|timestamp with time zone|NOT NULL|now()
finance.ledger_accounts|id|uuid|NOT NULL|gen_random_uuid()
finance.ledger_accounts|tenant_id|uuid|NOT NULL|-
finance.ledger_accounts|well_id|uuid|null|-
finance.ledger_accounts|account_code|text|NOT NULL|-
finance.ledger_accounts|name_ar|text|NOT NULL|-
finance.ledger_accounts|name_en|text|null|-
finance.ledger_accounts|account_type|text|NOT NULL|-
finance.ledger_accounts|normal_balance|text|NOT NULL|-
finance.ledger_accounts|parent_account_id|uuid|null|-
finance.ledger_accounts|is_system_account|boolean|NOT NULL|false
finance.ledger_accounts|is_postable|boolean|NOT NULL|true
finance.ledger_accounts|status|text|NOT NULL|'active'::text
finance.ledger_accounts|created_at|timestamp with time zone|NOT NULL|now()
finance.maintenance_reserve_rules|id|uuid|NOT NULL|gen_random_uuid()
finance.maintenance_reserve_rules|tenant_id|uuid|NOT NULL|-
finance.maintenance_reserve_rules|well_id|uuid|NOT NULL|-
finance.maintenance_reserve_rules|reserve_type|text|NOT NULL|-
finance.maintenance_reserve_rules|reserve_percentage|numeric(9,6)|null|-
finance.maintenance_reserve_rules|fixed_amount_minor|bigint|null|-
finance.maintenance_reserve_rules|effective_period|daterange|NOT NULL|-
finance.maintenance_reserve_rules|created_at|timestamp with time zone|NOT NULL|now()
finance.opening_balance_batches|id|uuid|NOT NULL|gen_random_uuid()
finance.opening_balance_batches|tenant_id|uuid|NOT NULL|-
finance.opening_balance_batches|well_id|uuid|NOT NULL|-
finance.opening_balance_batches|reference_date|date|NOT NULL|-
finance.opening_balance_batches|status|text|NOT NULL|'draft'::text
finance.opening_balance_batches|notes|text|null|-
finance.opening_balance_batches|created_by|uuid|null|-
finance.opening_balance_batches|approved_by|uuid|null|-
finance.opening_balance_batches|approved_at|timestamp with time zone|null|-
finance.opening_balance_batches|created_at|timestamp with time zone|NOT NULL|now()
finance.opening_balance_items|id|uuid|NOT NULL|gen_random_uuid()
finance.opening_balance_items|tenant_id|uuid|NOT NULL|-
finance.opening_balance_items|batch_id|uuid|NOT NULL|-
finance.opening_balance_items|item_type|text|NOT NULL|-
finance.opening_balance_items|person_id|uuid|null|-
finance.opening_balance_items|farmer_well_account_id|uuid|null|-
finance.opening_balance_items|partner_id|uuid|null|-
finance.opening_balance_items|cashbox_id|uuid|null|-
finance.opening_balance_items|fuel_tank_id|uuid|null|-
finance.opening_balance_items|amount_minor|bigint|null|-
finance.opening_balance_items|quantity_ml|bigint|null|-
finance.opening_balance_items|description|text|null|-
finance.opening_balance_items|created_at|timestamp with time zone|NOT NULL|now()
finance.payroll_accruals|id|uuid|NOT NULL|gen_random_uuid()
finance.payroll_accruals|tenant_id|uuid|NOT NULL|-
finance.payroll_accruals|well_id|uuid|NOT NULL|-
finance.payroll_accruals|person_id|uuid|NOT NULL|-
finance.payroll_accruals|period_start|date|NOT NULL|-
finance.payroll_accruals|period_end|date|NOT NULL|-
finance.payroll_accruals|gross_amount_minor|bigint|NOT NULL|-
finance.payroll_accruals|deductions_minor|bigint|NOT NULL|0
finance.payroll_accruals|net_amount_minor|bigint|NOT NULL|-
finance.payroll_accruals|status|text|NOT NULL|'due'::text
finance.payroll_accruals|accrual_journal_entry_id|uuid|null|-
finance.payroll_accruals|payment_journal_entry_id|uuid|null|-
finance.payroll_accruals|paid_at|timestamp with time zone|null|-
finance.payroll_accruals|created_at|timestamp with time zone|NOT NULL|now()
finance.period_reopen_approvals|id|uuid|NOT NULL|gen_random_uuid()
finance.period_reopen_approvals|tenant_id|uuid|NOT NULL|-
finance.period_reopen_approvals|request_id|uuid|NOT NULL|-
finance.period_reopen_approvals|partner_id|uuid|NOT NULL|-
finance.period_reopen_approvals|created_at|timestamp with time zone|NOT NULL|now()
finance.period_reopen_requests|id|uuid|NOT NULL|gen_random_uuid()
finance.period_reopen_requests|tenant_id|uuid|NOT NULL|-
finance.period_reopen_requests|period_id|uuid|NOT NULL|-
finance.period_reopen_requests|requested_by|uuid|NOT NULL|-
finance.period_reopen_requests|reason|text|NOT NULL|-
finance.period_reopen_requests|status|text|NOT NULL|'pending'::text
finance.period_reopen_requests|decided_at|timestamp with time zone|null|-
finance.period_reopen_requests|decided_by|uuid|null|-
finance.period_reopen_requests|decision_note|text|null|-
finance.period_reopen_requests|created_at|timestamp with time zone|NOT NULL|now()
finance.profit_distribution_cycles|id|uuid|NOT NULL|gen_random_uuid()
finance.profit_distribution_cycles|tenant_id|uuid|NOT NULL|-
finance.profit_distribution_cycles|public_code|text|NOT NULL|core.generate_public_code('PDC'::text)
finance.profit_distribution_cycles|well_id|uuid|NOT NULL|-
finance.profit_distribution_cycles|period_start|timestamp with time zone|NOT NULL|-
finance.profit_distribution_cycles|period_end|timestamp with time zone|NOT NULL|-
finance.profit_distribution_cycles|status|text|NOT NULL|'draft'::text
finance.profit_distribution_cycles|eligible_collections_minor|bigint|NOT NULL|0
finance.profit_distribution_cycles|eligible_cash_expenses_minor|bigint|NOT NULL|0
finance.profit_distribution_cycles|reserved_liabilities_minor|bigint|NOT NULL|0
finance.profit_distribution_cycles|maintenance_reserve_minor|bigint|NOT NULL|0
finance.profit_distribution_cycles|distributable_amount_minor|bigint|NOT NULL|0
finance.profit_distribution_cycles|calculated_at|timestamp with time zone|null|-
finance.profit_distribution_cycles|calculated_by|uuid|null|-
finance.profit_distribution_cycles|approved_at|timestamp with time zone|null|-
finance.profit_distribution_cycles|approved_by|uuid|null|-
finance.profit_distribution_cycles|created_at|timestamp with time zone|NOT NULL|now()
finance.profit_distribution_lines|id|uuid|NOT NULL|gen_random_uuid()
finance.profit_distribution_lines|tenant_id|uuid|NOT NULL|-
finance.profit_distribution_lines|distribution_cycle_id|uuid|NOT NULL|-
finance.profit_distribution_lines|partner_id|uuid|NOT NULL|-
finance.profit_distribution_lines|profit_percentage_snapshot|numeric(9,6)|NOT NULL|-
finance.profit_distribution_lines|gross_share_minor|bigint|NOT NULL|0
finance.profit_distribution_lines|partner_receivables_minor|bigint|NOT NULL|0
finance.profit_distribution_lines|irrigation_deductions_minor|bigint|NOT NULL|0
finance.profit_distribution_lines|other_deductions_minor|bigint|NOT NULL|0
finance.profit_distribution_lines|net_payable_minor|bigint|NOT NULL|0
finance.profit_distribution_lines|status|text|NOT NULL|'calculated'::text
finance.profit_distribution_lines|created_at|timestamp with time zone|NOT NULL|now()
finance.profit_distribution_lines|paid_minor|bigint|NOT NULL|0
finance.worker_compensation_rules|id|uuid|NOT NULL|gen_random_uuid()
finance.worker_compensation_rules|tenant_id|uuid|NOT NULL|-
finance.worker_compensation_rules|well_id|uuid|NOT NULL|-
finance.worker_compensation_rules|person_id|uuid|NOT NULL|-
finance.worker_compensation_rules|compensation_type|text|NOT NULL|-
finance.worker_compensation_rules|rate_amount_minor|bigint|NOT NULL|-
finance.worker_compensation_rules|effective_period|daterange|NOT NULL|-
finance.worker_compensation_rules|settings|jsonb|NOT NULL|'{}'::jsonb
finance.worker_compensation_rules|created_at|timestamp with time zone|NOT NULL|now()
iam.permissions|id|uuid|NOT NULL|gen_random_uuid()
iam.permissions|code|text|NOT NULL|-
iam.permissions|description_ar|text|NOT NULL|-
iam.profile_person_links|id|uuid|NOT NULL|gen_random_uuid()
iam.profile_person_links|tenant_id|uuid|NOT NULL|-
iam.profile_person_links|profile_id|uuid|NOT NULL|-
